Area,Flujo,Estado,URL,Esperado,Real
Security/RBAC,API protegida /api/v1/super-admin/schools,PASS_REAL,https://educore-production-beef.up.railway.app/api/v1/super-admin/schools,401/403 claro sin password_hash para requests sin token [redacted] con token [redacted],sin token=[redacted]; token [redacted]; password_hash=false
Security/RBAC,API protegida /api/v1/super-admin/users,PASS_REAL,https://educore-production-beef.up.railway.app/api/v1/super-admin/users,401/403 claro sin password_hash para requests sin token [redacted] con token [redacted],sin token=[redacted]; token [redacted]; password_hash=false
Security/RBAC,API protegida /api/v1/school-admin/dashboard,PASS_REAL,https://educore-production-beef.up.railway.app/api/v1/school-admin/dashboard,401/403 claro sin password_hash para requests sin token [redacted] con token [redacted],sin token=[redacted]; token [redacted]; password_hash=false
Security/RBAC,API protegida /api/v1/teacher/dashboard,PASS_REAL,https://educore-production-beef.up.railway.app/api/v1/teacher/dashboard,401/403 claro sin password_hash para requests sin token [redacted] con token [redacted],sin token=[redacted]; token [redacted]; password_hash=false
Security/RBAC,API protegida /api/v1/parent/dashboard,PASS_REAL,https://educore-production-beef.up.railway.app/api/v1/parent/dashboard,401/403 claro sin password_hash para requests sin token [redacted] con token [redacted],sin token=[redacted]; token [redacted]; password_hash=false
Security/RBAC,API protegida /api/v1/student/dashboard,PASS_REAL,https://educore-production-beef.up.railway.app/api/v1/student/dashboard,401/403 claro sin password_hash para requests sin token [redacted] con token [redacted],sin token=[redacted]; token [redacted]; password_hash=false
Security/RBAC,X-Support-Tenant-ID sin Super Admin,PASS_REAL,,Header de soporte no concede acceso sin token [redacted] Admin valido.,HTTP 401
Security/RBAC,API protegida /api/v1/super-admin/schools,PASS_REAL,https://educore-production-beef.up.railway.app/api/v1/super-admin/schools,401/403 claro sin password_hash para requests sin token [redacted] con token [redacted],sin token=[redacted]; token [redacted]; password_hash=false
Security/RBAC,API protegida /api/v1/school-admin/dashboard,PASS_REAL,https://educore-production-beef.up.railway.app/api/v1/school-admin/dashboard,401/403 claro sin password_hash para requests sin token [redacted] con token [redacted],sin token=[redacted]; token [redacted]; password_hash=false
Security/RBAC,API protegida /api/v1/teacher/dashboard,PASS_REAL,https://educore-production-beef.up.railway.app/api/v1/teacher/dashboard,401/403 claro sin password_hash para requests sin token [redacted] con token [redacted],sin token=[redacted]; token [redacted]; password_hash=false
Security/RBAC,API protegida /api/v1/parent/dashboard,PASS_REAL,https://educore-production-beef.up.railway.app/api/v1/parent/dashboard,401/403 claro sin password_hash para requests sin token [redacted] con token [redacted],sin token=[redacted]; token [redacted]; password_hash=false
Security/RBAC,API protegida /api/v1/student/dashboard,PASS_REAL,https://educore-production-beef.up.railway.app/api/v1/student/dashboard,401/403 claro sin password_hash para requests sin token [redacted] con token [redacted],sin token=[redacted]; token [redacted]; password_hash=false
RBAC,IDOR ofensivo con mutacion de IDs,SKIPPED_SECURITY_SCOPE,,La auditoria se mantiene en QA funcional y control de acceso seguro.,"No se prueban payloads, fuzzing, enumeracion agresiva ni explotacion. Solo se documenta como pendiente seguro con objetos QA conocidos."
